session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
618c3b615a41e8f6dc1f8a74,5ec1a979ce36f20c370677d4,APPROVED,2021-11-10 21:36:33.724000,2021-11-10 21:39:22.566000,168.842,22,61,1,100,2021-11-10 21:39:58.982000,875B6695,Poland,Poland,Other,Polish,"Polish, English",Poland,Male,Yes
618d4229a58506ffae2518c5,5f5ecfb02cde2b79f518e9da,APPROVED,2021-11-11 16:18:00.338000,2021-11-11 16:21:06.055000,185.717,27,2,0,100,2021-11-11 16:21:10.890000,875B6695,United Kingdom,United Kingdom,DATA EXPIRED,English,English,United Kingdom,Female,DATA EXPIRED
618d422c583a7ef39aaee4b5,6153564ce7f8925dee8d7d7d,APPROVED,2021-11-11 16:18:06.430000,2021-11-11 16:27:06.108000,539.678,21,1,0,100,2021-11-11 16:28:32.753000,875B6695,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
618d43bbeda45f9c172a80e2,616c5b31d73297efcf248715,APPROVED,2021-11-11 16:27:48.881000,2021-11-11 16:31:38.794000,229.913,29,4,0,100,2021-11-11 16:38:09.633000,875B6695,South Africa,South Africa,Full-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Male,No
618d43dab38a8ff28aac6bfe,613a48f02d1d91d0ec28fb18,TIMED-OUT,2021-11-11 16:25:02.698000,,4095.774382,26,4,0,100,,,Mexico,Mexico,Full-Time,Spanish,"Spanish, English",Mexico,Female,No
618d44d348e35c2b80e6e872,61254569bf51093126e8cbce,TIMED-OUT,2021-11-11 16:29:21.922000,,3836.565188,19,5,1,94,,,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes
618d4556a1b6c3710b6b774a,613a1c2b27a44b46ca15471e,APPROVED,2021-11-11 16:31:23.055000,2021-11-11 16:36:41.586000,318.531,20,1,0,100,2021-11-11 16:38:01.113000,875B6695,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Female,Yes
618d47a0e0a42749ab228621,5e65aaeb444b2a32ae9dfecb,APPROVED,2021-11-11 16:41:07.652000,2021-11-11 16:46:44.687000,337.035,22,17,0,100,2021-11-11 16:51:32.390000,875B6695,Algeria,France,Part-Time,Arabic,"Arabic, English, French, Italian",Italy,Male,Yes
618d485e0455fb79752dfc32,5c72e7e92308a3000179cbd7,APPROVED,2021-11-11 16:44:14.493000,2021-11-11 16:47:59.461000,224.968,22,38,0,100,2021-11-11 16:51:07.604000,875B6695,Greece,Greece,DATA EXPIRED,Greek,"English, Greek",Greece,Male,DATA EXPIRED
618d485f024d4c465ab0827c,615eb909f728e8298663c6f4,APPROVED,2021-11-11 16:44:34.475000,2021-11-11 16:51:15.961000,401.486,19,5,0,100,2021-11-11 16:51:50.041000,875B6695,DATA EXPIRED,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED
618d4fa1d57f7e1a6729e2d4,5dd051e757069f12902af4dd,RETURNED,2021-11-11 17:15:14.999000,,1083.571744,25,54,2,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
618d4fd2e5107aa278d0215e,6109119b7bee4b360b0c9e0b,APPROVED,2021-11-11 17:16:02.246000,2021-11-11 17:20:26.050000,263.804,20,10,0,100,2021-11-11 17:22:45.542000,875B6695,DATA EXPIRED,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,Yes
618d50a91ff4213fb6cdcd97,616ca6543f2bb25792f3a812,APPROVED,2021-11-11 17:21:29.465000,2021-11-11 17:24:04.244000,154.779,28,14,0,100,2021-11-11 17:29:59.668000,875B6695,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
